model,model_path,layer,num_cases,num_response_tokens,mean_entropy,std_entropy,mean_normalized_entropy,std_normalized_entropy,mean_sink_ratio,std_sink_ratio,mean_first_frame_ratio,std_first_frame_ratio,mean_other_frame_avg_ratio,std_other_frame_avg_ratio,mean_max_frame_ratio,std_max_frame_ratio,mean_frame_ratio_variance,std_frame_ratio_variance,mean_video_attention_mass,std_video_attention_mass
OneThinker,/data1/liugengyuan/models/OneThinker,33.0,280.0,6001.0,1.070880747263845,0.18506622100331194,0.5150667821999686,0.08884222595257533,0.6583098322186877,0.20495438238079297,0.6583098322186877,0.20495438238079297,0.04882575549325501,0.029268033587201002,0.726032008338011,0.07347840222836685,0.05347245003245684,0.011076887155119636,0.09532333869174206,0.021231805082013416
OneThinker,/data1/liugengyuan/models/OneThinker,34.0,280.0,6001.0,1.3870583220066708,0.146690557813664,0.667162144740545,0.07031313709087544,0.5607169343356478,0.1558030026156438,0.5607169343356478,0.1558030026156438,0.06277843998189832,0.022236672166551154,0.6084911590913575,0.0672416574624462,0.03509099310257155,0.008548886294725421,0.08494248629416773,0.01766483945133671
OneThinker,/data1/liugengyuan/models/OneThinker,35.0,280.0,6001.0,1.9718283410821398,0.03623328283969091,0.9484632377519233,0.016872506776327043,0.26685668622393593,0.03960597378680881,0.26685668622393593,0.03960597378680881,0.10479134474263756,0.005640103647931952,0.26861969447327294,0.03676679889970002,0.0039719335047565625,0.001488862951113155,0.07873987555421695,0.014546797904045403
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,0.0,280.0,280.0,1.9283621485744205,0.05366318363017654,0.9275602621691568,0.025607206936599302,0.07996917805368346,0.04512791987617113,0.07996917805368346,0.04512791987617113,0.13151167263942107,0.0065886723405054705,0.26459814150418554,0.0472554395744702,0.00516074396852803,0.002149907192890174,0.12639064846028175,0.037628244190083295
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,1.0,280.0,280.0,2.012335297039577,0.03398882455081748,0.9679519542625972,0.015989918828991263,0.09235719088464975,0.02404848411121455,0.09235719088464975,0.02404848411121455,0.12974011852805103,0.0036559795758357243,0.2254011707646506,0.033766347535596375,0.002316844006730077,0.0013510227648209716,0.07611089976770537,0.02532163761253032
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,2.0,280.0,280.0,2.036621298960277,0.043113666508265015,0.9796327518565314,0.020402548157619303,0.1798867968576295,0.044591808554465366,0.1798867968576295,0.044591808554465366,0.11722524876573256,0.006404656736085221,0.19632503326450076,0.039453491055834705,0.0014667687105559578,0.0018656035396084178,0.09946982514645372,0.029510331708114013
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,3.0,280.0,280.0,2.0128146759101324,0.04556872229512904,0.9681792667933873,0.02151315933907948,0.19962174349597522,0.046491566973372776,0.19962174349597522,0.046491566973372776,0.11440476823065962,0.006680193541308137,0.2170325351080724,0.040148916269035384,0.0022960395103707146,0.0018243684524961756,0.048122343114976374,0.010680604809594487
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,4.0,280.0,280.0,2.021925670334271,0.052183793968014945,0.9725646270172936,0.024848624044102045,0.1915310498593109,0.05152072220328463,0.1915310498593109,0.05152072220328463,0.1155592945803489,0.007364022910091692,0.2099656756967306,0.046117951596116945,0.002002132594498107,0.0023391832625290266,0.06052574141483222,0.014664367283257887
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,5.0,280.0,280.0,2.0313934253794805,0.037356029142018486,0.9771191294704165,0.017637431151786332,0.16151885109554445,0.03508956031922504,0.16151885109554445,0.03508956031922504,0.11984907779842616,0.005018005215776702,0.198199355921575,0.0356136599382156,0.0016140334548773742,0.001568781710181005,0.050250418969829166,0.011089265727864145
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,6.0,280.0,280.0,2.025764437658446,0.04535921517209431,0.9744066212858472,0.021339513288703805,0.15986959734665496,0.0369854781719475,0.15986959734665496,0.0369854781719475,0.12007990793458052,0.00518377500625971,0.20523048527538776,0.04219671062924566,0.0018448899335843244,0.0019219030467441495,0.05324060606903264,0.014493482020756612
