model,model_path,layer,num_cases,num_response_tokens,mean_entropy,std_entropy,mean_normalized_entropy,std_normalized_entropy,mean_sink_ratio,std_sink_ratio,mean_max_frame_ratio,std_max_frame_ratio,mean_video_attention_mass,std_video_attention_mass
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,14.0,100.0,100.0,2.076755475997925,0.002926546802734964,0.9987082833051681,0.0014073724009725436,0.13561116371303797,0.033644422688154124,0.2707230317592621,0.06875447014910274,0.046838157363235954,0.01053100198594418
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,15.0,100.0,100.0,2.077013626098633,0.0023209342672291374,0.998832426071167,0.0011161336349901079,0.12256908252835273,0.02496409970404426,0.26579722940921785,0.06384330021789152,0.056643234230577946,0.011026554377186052
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,16.0,100.0,100.0,2.076409573554993,0.002574909587672965,0.9985419392585755,0.001238269867969021,0.14037432342767717,0.026503830157734817,0.28949840158224105,0.06422339329046599,0.05061841329559684,0.010740181478779282
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,17.0,100.0,100.0,2.0755991911888123,0.0019910893090114823,0.9981522262096405,0.000957512208090976,0.27202862419188023,0.08628580345016605,0.30244479402899743,0.06400172402627878,0.08505425170063972,0.024042918213633267
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,18.0,100.0,100.0,2.074716532230377,0.0022290554702851795,0.9977277600765229,0.0010719455056279058,0.3015776402503252,0.09448082226929841,0.33015091791749,0.06131327235831879,0.17618468761444092,0.031704325957529915
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,19.0,100.0,100.0,2.068538248538971,0.0040462564085676205,0.9947566294670105,0.0019458352767431244,0.421831462867558,0.13037051629667223,0.45584285527467727,0.06748435898956502,0.10107852801680565,0.015743167956304465
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,20.0,100.0,100.0,2.062943971157074,0.006594135426066703,0.9920663523674011,0.0031711104698333935,0.4913201039656997,0.15496722014613798,0.5339560204744339,0.08232494812965667,0.1171737402677536,0.022362766022802346
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,21.0,100.0,100.0,2.067065713405609,0.005389359739338911,0.994048490524292,0.002591734653334022,0.44056030014529823,0.13850898112189752,0.4755376636981964,0.0829142373631979,0.1327460353076458,0.029404464087325864
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,22.0,100.0,100.0,2.0563199520111084,0.007600202854605585,0.9888808757066727,0.003654923344142572,0.5651071792840958,0.16507912776266245,0.6101221823692322,0.07922873707080379,0.07779633320868015,0.012342842467916034
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,23.0,100.0,100.0,2.050799469947815,0.007195891738470323,0.9862260836362838,0.00346049186309631,0.6170676058530807,0.1741006723608555,0.6645685029029846,0.06581342235695356,0.10480129837989807,0.014865454504060932
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,24.0,100.0,100.0,2.044235587120056,0.0074872724109635,0.9830695182085037,0.0036006166180926756,0.6728190940991045,0.17541356318967496,0.7177889648079873,0.06247969133744642,0.14109417647123337,0.019522525848418924
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,25.0,100.0,100.0,2.032852625846863,0.006675571259514221,0.977595477104187,0.003210276469782692,0.7390240822173655,0.20827061972611333,0.7980128955841065,0.05053516688445925,0.1036641000956297,0.013123127111354788
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,26.0,100.0,100.0,2.0208060050010683,0.0063657346230575245,0.9718022733926773,0.0030612745147943782,0.8084327696077526,0.2240335686950101,0.8691808658838273,0.0458732857110477,0.13681080788373948,0.018299377432979148
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,27.0,100.0,100.0,2.031038210391998,0.006855294227146349,0.9767229253053665,0.003296702480778149,0.7529851518571377,0.2059127619071774,0.8092376431822776,0.05143776715823173,0.12624097019433975,0.014095707787981351
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,28.0,100.0,100.0,2.029565575122833,0.006546090233890273,0.9760147368907929,0.0031480048772872613,0.7571114491671324,0.2155145232213172,0.8183327940106392,0.04942240110330525,0.14572856470942497,0.01652298570763679
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,29.0,100.0,100.0,2.0248027086257934,0.0064765947779739305,0.9737242817878723,0.00311458604059215,0.785143259651959,0.22076035311525993,0.8466210132837295,0.04747384106894653,0.13843642525374888,0.01784304754498917
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,30.0,100.0,100.0,2.0231677961349486,0.0059861103941035235,0.9729380559921265,0.0028787111705320897,0.7921944005042314,0.22663252359488126,0.8561088347434997,0.04542658971404842,0.1216238060593605,0.014474789557802516
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,31.0,100.0,100.0,2.0275194215774537,0.0062442236521897355,0.9750307458639145,0.00300283536087379,0.7690823393315077,0.21856233846773657,0.8309533414244652,0.046656950520578735,0.14388292476534845,0.017128544397396042
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,32.0,100.0,100.0,2.027529013156891,0.00604367981637691,0.9750353574752808,0.0029063948438867383,0.7681171791628003,0.22027726256308935,0.8309624820947648,0.045895931426676244,0.11011026620864868,0.012725465990933334
